Metric Label,Unit,Metric Ref,Components,Terms,Complexity,Definition,Metric Expression,Periods,Dims,Business Model(s),Buying Model(s),Set(s),Theme,Source System(s),Owning Team(s),Watching Team(s)
Prospect to Deal Sales Cycle,days,ProspDealSalesCycle,,Prospect; New Business Deal,Atomic,"The average number of days between when a new Prospect is generated and when that Prospect results in a New Business Deal, for won Deals in the period.",,"Week, Month, Quarter",[Contact Dims]; Marketing Touches Dims,B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,Marketing
Working New Business Opportunities,n,WrkngNewBizOpps,,New Business Opportunities; Customers,Atomic,The count of New Business Opportunities being actively worked on with existing Customers during the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Starting Opportunities,n,StartOpps,,New Business Opportunities,Atomic,"The count of New Business Opportunities expected to close in the period, as of the start of the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Opened Same-Period Opportunities,n,OpenSamePdOpps,,New Business Opportunities,Atomic,"The count of New Business Opportunities that were opened during the period, and expected to close within the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
Opened Future Opportunities,n,OpenFutOpps,,New Business Opportunities,Atomic,"The count of New Business Opportunities that were opened during the period, and expected to close in a future period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,
Pulled-in Opportunities,n,PullInOpps,,New Business Opportunities,Atomic,"The count of New Business Opportunities expected to close in the period, that were, prior to the period, previously expected to close on a later date.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,
Slipped Opportunities,n,SlipOpps,,New Business Opportunities,Atomic,"The count of New Business Opportunities expected to close in the period (as of the beginning of the period), but were subsequently pushed to a later date.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,
AE-Sourced Pipeline,$,AESrcPipe,,New Business Opportunities,Atomic,The sum of Pipeline Value across Opportunities opened in the period and sourced by AEs.,,"Week, Month, Quarter",[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
Starting Pipeline,$,StartPipe,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across New Business Opportunities expected to close in the period, as of the start of the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Opened Same-Period Pipeline,$,OpenSamePdPipe,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across New Business Opportunities that were opened during the period, and expected to close within the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Opened Future Pipeline,$,OpenFutPipe,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across New Business Opportunities that were opened during the period, and expected to close in a future period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Pulled-in Pipeline,$,PullInPipe,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across New Business Opportunities expected to close in the period, that were, prior to the period, previously expected to close on a later date.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Slipped Pipeline,$,SlipPipe,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across New Business Opportunities expected to close in the period (as of the beginning of the period), but were subsequently pushed to a later date.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Lost Pipeline,$,LostPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value for New Business Opportunities lost in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Total Pipeline For Period,$,TotPipePd,,Pipeline Value; New Business Opportunities,Atomic,"The sum of Pipeline Value across all New Business Opportunities expected to close in the period, inclusive of the period's Starting Pipeline, Opened Same-Period Pipeline, and Pulled-in Pipeline, and exclusive of Slipped Pipeline.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline,CRM,Sales,Finance
Expired and Cancelled Trials,n,ExpirCancTrials,,,Atomic,The count of Trials that expired or cancelled during the period.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM; Product Usage,Product,Marketing; Sales
Expired Trial Conversion Rate,%,ExpirTrialConvRate,,,Atomic,The percent of the Trials that expire in the period that have converted into New Customers.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Evaluation,Trials,CRM,Product,Marketing; Sales; Finance
Net Pipeline Conversion Rate,%,NetPipeConvRate,,Starting Pipeline; Bookings,Atomic,The percent of Pipeline Value expected to close as of the beginning of the period that ended up successfully closing by the end of the period as Bookings. Note: this can be over 100% if Opportunities grow in size during the period.,,Month; Quarter,,B2B SaaS,Enterprise; Hybrid,Evaluation,Pipeline,CRM,Product,Marketing; Sales; Finance
Gross Pipeline Conversion Rate,%,GrossPipeConvRate,StartPipe; TotBks,,Composite,"The ratio of Starting Pipeline against Total Bookings. Note, Total Bookings here are inclusive of Opened Same-Period Opportunities and Pulled-In Opportunities.",{StartPipeₜ} / {TotBksₜ},Month; Quarter,,B2B SaaS,Enterprise; Hybrid,Evaluation,Pipeline,CRM,Product,Marketing; Sales; Finance
Total Pipeline Conversion Rate,%,TotPipeConvRate,TotPipePd; TotBks,,Composite,"The ratio of Total Pipeline for Period against Total Bookings. Note, Total Pipeline For Period is inclusive of Opened Pipeline and Pulled-In Pipeline.",{TotPipePdₜ} / {TotBksₜ},Month; Quarter,,B2B SaaS,Enterprise; Hybrid,Evaluation,Pipeline,CRM,Product,Marketing; Sales; Finance
Sales Velocity,%,SalesVel,,MRR,Atomic,The amount of MRR expected to close per day from New Business Opportunities opened in the period.,,Week; Month; Quarter,,B2B SaaS,Enterprise; Hybrid,Evaluation,Opportunities,CRM,Sales,
New Bookings Per AE,$,NewBksPerAE,NewBks; ActiveAEs,,Composite,The ratio of New Business Bookings against Active AEs.,{NewBksₜ} / {ActiveAEsₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
New ACV Per AE,$,NewACVPerAE,NewACV; ActiveAEs,,Composite,The ratio of New ACV against Active AEs.,{NewACVₜ} / {ActiveAEsₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
New MRR Per AE,$,NewMRRPerAE,NewMRR; ActiveAEs,,Composite,The ratio of New MRR against Active AEs.,{NewMRRₜ} / {ActiveAEsₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Interest,Lead Development,CRM,Sales,Finance
AE Calls,n,AECalls,,,Atomic,The count of outbound calls initiated and inbound calls fielded by AEs during the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
AE Outbound Messages,n,AEOutbounds,,,Atomic,"The count of outbound messages (email, SMS, InMail, etc) manually sent by AEs during the period.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; Email Marketing,Sales,
AE Connected Conversations,n,AEConnectConvos,,,Atomic,The count of live conversations/connections between AEs and Opportunity contacts during the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
AE Talk Time,n,AETalkTime,,,Atomic,"The amount of total connected talk time, in minutes, between AEs and Opportunity contacts during the period.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
Calls Per New Business Deal,n,CallsPerNewBizDeal,,New Business Deal,Atomic,The average number of historical AE Calls associated with each New Business Deal won in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
Emails Per New Business Deal,n,EmailsPerNewBizDeal,,New Business Deal,Atomic,The average number of historical AE Emails associated with each New Business Deal won in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; Email Marketing,Sales,
Talk Time Per New Business Deal,n,TalkTimePerNewBizDeal,,New Business Deal,Atomic,The average number of historical AE Talk Time minutes associated with each New Business Deal won in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
Conversations Per New Business Deal,n,ConvosPerNewBizDeal,,New Business Deal,Atomic,The average number of historical AE Connected Conversations associated with each New Business Deal won in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM; VoIP & Unified Communications,Sales,
AE Activities per New Business Deal,n,AEAcrsPerNewBizDeal,,,Atomic,The average number of historical AE Activities associated with each New Business Opportunity won in the period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Evaluation,Sales Activities,CRM,Sales,
New Customers,n,NewCust,,Subscriptions; Customers,Atomic,The count of Customers whose first Subscriptions began in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM,Sales,Finance; Marketing
Total Customers,n,TotCust,,Subscriptions,Atomic,The count of Customers with active Subscriptions as of the beginning of the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM,Sales,Finance
Net Customers,n,NetCust,TotCust,,Atomic,The delta in Total Customers between the prior period and the current period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM,Sales,
Magic Number,r,MagicNum,SalesMktSpend; NetNewMRR,,Composite,The ratio of Sales and Marketing Spend against Net New MRR.,({SalesMktSpendₜ}) / {NetNewMRRₜ},"Month, Quarter",,B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM; ERP,Finance,Sales; Marketing
Converted Trials,n,ConvTrials,,Trials; Customers,Atomic,The count of Trials that converted to paying Customers during the period.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Purchase,New Customers,CRM; Product Usage,Sales,
Converted Freemium Accounts,n,ConvFreemAccts,,Freemium; Customers,Atomic,The count of Freemium Accounts that converted to paying Customers during the period.,,"Week, Month, Quarter",[Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Purchase,New Customers,CRM; Product Usage,Sales,
Lifetime Trial Conversion Rate,%,LifeTrialConvRate,,Trials; Customers,Atomic,The percent of the New Trials starting during the period that subsequently converted into New Customers.,,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Purchase,New Customers,CRM,Sales,Marketing; Finance; Sales
Time to Trial Conversion,days,TimeTrialConv,,Trials; Customers,Atomic,"The average number of days between the beginning of a new Trial and that Trial converting to a paid Customer, for Trials that successfully converted in the period.",,"Week, Month, Quarter",[Trial Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Purchase,New Customers,CRM,Sales,Marketing; Finance; Sales
Signed New Business Contracts,n,SignedNewBizC,,New Business Opportunities; Contracts,Atomic,The count of Contracts for New Business Opportunities that were fully executed in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM; eSignature; Contract Lifecycle Management,Sales,Customer Success; Finance
Time to Sign New Business,days,TimeSignNewBiz,,New Business Opportunities,Atomic,"The average number of days between the initial contract proposals being sent for New Business Opportunities and those Opportunities becoming won, for Opportunities won in the period.",,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM; eSignature; Contract Lifecycle Management,Sales,
New Business Deals,n,NewBizDeals,,New Business Opportunities,Atomic,The count of New Business Opportunities that were successfully won during the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM,Sales,Finance
Won Deals,n,WonDeals,,Sales Opportunities,Atomic,"The count of all Sales Opportunities (New Business, Expansion, or Renewal) that were successfully won during the period.",,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Purchase,New Customers,CRM,Sales,
New Business Deal Size,$,NewBizDealSize,NewBizBks; NewBizDeals,,Composite,The ratio of New Business Bookings against Won New Business Deals.,{NewBizBksₜ} / {NewBizDealsₜ},Week; Month; Quarter,[Opportunity Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Purchase,Deal Size & Terms,CRM,Sales,Finance
New Business ACV,$,NewACV,,Annualized Contract Value; New Business Opportunities,Atomic,The sum of annualized Contract Value across all New Business Opportunities won in the period.,,Week; Month; Quarter,[Opportunity Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Purchase,Deal Size & Terms,CRM,Sales,Finance
Average New Business Contract Length,n,AvgNewBizCtrctLen,,New Business Deals,Atomic,"The average duration, in months, of subscription contracts, across all New Business Deals won in the period.",,Month; Quarter,[Opportunity Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Purchase,Deal Size & Terms,CRM; Contract Lifecycle Management,Sales,Finance
Dollar-Weighted Average New Business Contract Length,n,DollWtdAvgNewBizCtrctLen,,New Business Deals,Atomic,"The average duration, in months, of subscription contracts, across all New Business Deals won in the period, weighted by the dollar value of those Deals.",,Month; Quarter,[Opportunity Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Purchase,Deal Size & Terms,CRM; Contract Lifecycle Management,Sales,Finance
Won Pipeline,$,WonPipe,,Contract Value; New Business Deals,Atomic,The sum of Contract Value for New Business Deals won in the period.,,Month; Quarter,[Opportunity Dims]; [Contract Dims],B2B SaaS,Enterprise; Hybrid,Purchase,Deal Quota,CRM,Sales,Finance
Total Future Pipeline,$,TotFutPipe,,Pipeline Value; New Business Opportunities,Atomic,The sum of Pipeline Value across all New Business Opportunities expected to close in future periods.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting,Pipeline Forecast,CRM,Sales,Finance
Opportunity Push Rate,%,OppPushRate,,New Business Opportunities; Won Deals,Atomic,The percent of New Business Opportunities that were expected to become Won Deals in the period that were pushed out to a subsequent period.,,Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting; Evaluation,Pipeline; Opportunities,CRM,Sales,
Working Renewal Pipeline,$,WrkngRenewPipe,,Pipeline Value; Renewal Opportunities,Atomic,The sum of Pipeline Value across all Renewal Opportunities that remain open and correspond to contracts expiring in the period.,,"Week, Month, Quarter",[Opportunity Dims]; [Customer Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting; Loyalty,Pipeline Forecast; Revenue; Renewals,CRM; Contract Lifecycle Management,Customer Success,Sales
Expected New Business Closes,n,ExpNewBizCloses,,New Business Opportunities,Atomic,The count of New Business Opportunities with expected close dates in the period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting; Purchase,Pipeline Forecast; New Customers,CRM,Sales,
Pushed New Business Closes,n,PushNewBizCloses,,New Business Opportunities,Atomic,The count of New Business Opportunities that were expected to be won in the period but were pushed out to a subsequent period.,,Week; Month; Quarter,[Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Pipeline and Forecasting; Purchase,Pipeline Forecast; New Customers,CRM,Sales,
Onboarding Calls,n,OnboardCalls,,,Atomic,The count of Onboarding calls successfully completed by Customer Success or Professional Services in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Product,New Customers,CRM; VoIP & Unified Communications,Customer Success,Sales; Product
Onboarded Customers,n,OnboardCust,,New Customers; Onboarding,Atomic,The count of New Customers who were successfully Onboarded in the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Hybrid,Product,New Customers,CRM; Product Usage,Customer Success,Sales; Product
Onboarding Completion Rate,%,OnboardCompRate,,New Customers; Onboarding,Atomic,The percent of New Customers in the period who have successfully completed Onboarding activities.,,"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Product,New Customers,CRM; Product Usage,Customer Success,Sales; Product
Time to Completed Onboarding,days,TimeCompOnboard,,New Business Opportunity; Onboarding Activities,Atomic,"The average number of days between a New Business Opportunity being won and the corresponding Customer completing Onboarding Activities, for onboardings completed in the period.",,"Month, Quarter",[Customer Dims]; [Subscription Dims]; [Opportunity Dims],B2B SaaS,Enterprise; Hybrid,Product,New Customers,CRM; Product Usage,Customer Success,Sales; Product
New Activated Customers,n,NewActivatCust,,New Customers; Activation,Atomic,The count of New Customers that realize a critical level of product value (Activation) during the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Sales,Customer Success; Product
Customer Activation Rate,%,CustActivRate,,New Customers; Activation,Atomic,The percent of New Customers in the period that subsequently became Activated Customers.,,"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Customer Success,Sales; Product
Total Activated Customers,n,TotActivatCust,,New Customers; Activation,Atomic,The count of New Customers that have realized a critical level of product value (Activation) as of the beginning of the period.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Customer Success,Sales; Product
Time to Customer Activation,days,TimeCustActiv,,Customer; Subscription; Activation,Atomic,"The average number of days between when a Customer begins their Subscription and when that Customer has realized a critical level of product value (""Activation"").",,"Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Customer Success,Sales; Product
Timely Customer Activation,%,TimelyCustActiv,,Activated Custoemrs,Atomic,The percent of Activated Customers that Activated within a target number of days from beginning their subscription.,,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Customer Success,Sales; Product
Total Users,n,TotUsers,,,Atomic,"The count of unique, non-Trial user seats/licenses that have been created prior to, and not deactivated as of, the beginning of the period.",,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Product Usage,CRM; Product Usage,Product,Customer Success
Active Users,n,ActiveUsers,,Trial Users; Active Users,Atomic,"The count of unique, non-Trial Users that were Active at any point during the period.",,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Product Usage,CRM; Product Usage,Product,Customer Success
Total Activated Users,n,TotActivUsers,,Activation; Users,Atomic,The count of Users that realize a critical level of product value (Activation).,,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Product,Customer Success
New Activated Users,n,NewActivUsers,,Activation; Users,Atomic,The count of Users that have realized a critical level of product value (Activation) during the period.,,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Sales,Customer Success; Product
Active Per Activated Users,%,ActivePerActivUsers,ActiveUsers; TotActivUsers,Active; Activated,Composite,The ratio of Active Users against Activated Users.,{ActiveUsersₜ} / {TotActivUsersₜ},"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM; Product Usage,Product,Customer Success
DAU:MAU,%,DAU:MAU,DAU; MAU,,Composite,The ratio of Daily Active Users against Monthly Active Users.,{DAUₜ} / {MAUₜ},"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Product Usage,CRM; Product Usage,Product,Customer Success
Daily Active Users,n,DAU,,Active Users,Atomic,The average number of individual users Active each day during the period.,,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Product Usage,CRM; Product Usage,Product,Customer Success
Monthly Active Users,n,MAU,,Past Month Active,Atomic,"The average number of unique, non-Trial users Past Month Active each day during the period.",,"Week, Month, Quarter",[User Dims]; [Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Product Usage,CRM; Product Usage,Product,Customer Success
Time to Grow,months,TimeToGrow,,Customer,Atomic,"The average number of months between from when a new Customer begins their subscription to when that Customer expands their ACV through up-sells/cross-sells, for Customers that first expanded in the period.",,"Week, Month, Quarter",[Customer Dims]; [Subscription Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Activation & Onboarding,CRM,Customer Success,Product
New Support Tickets,n,NewSuppTkts,,Support Ticket,Atomic,The count of user- or system-generated Support Tickets created in the period.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Starting Support Tickets,n,StartSuppTkts,,Support Tickets,Atomic,The count of Support Tickets open and pending resolution as of the beginning of the period.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Solved Support Tickets,n,SolvSuppTkts,,Support Agent; Support Ticket,Atomic,The count of Support Tickets that have been succesfully resolved by a Support Agent in the period.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Ticket Resolution Time,hrs,TktResTime,,Support Tickets; Support Ticket Resolution,Atomic,"The average number of hours between the creation of a Support Ticket and its successful Resolution, for Support Tickets opened in the period.",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Tickets at Resolution Time Target,%,TktsAtResTimeTarg,,Support Tickets; Ticket Resolution Time,Atomic,The share of Support Tickets resolved in the period that had a Ticket Resolution Time below a target SLA.,,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,,,Support Desk; Help Desk,Customer Support,Product; Customer Success
Support Request Volume,n,SuppReqVol,,Support Requests,Atomic,"The count of Customer-initiated Support Requests, across any medium, in the period.",,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Support Conversation Duration,min,SuppConvDur,,Customers; Support Agents,Atomic,"The average duration, in minutes, of conversations (across either call or chat) between Customers and Support Agents during the period.",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Time to First Response,min,Time1stResp,,Customer; Support Request,Atomic,"The average number of minutes between when an inbound Customer Support Request is received and when it is answered by a Support Agent, for any request received in the period through any modality (e.g. call, chat, email).",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Tickets at First Response Target,%`,Tkts1stRespTarg,,Support Tickets; Time to First Response,Atomic,The share of Support Tickets resolved in the period that had a Time to First Response below a target SLA.,,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Full Resolution Time,min,FullResTime,,Support Tickets,Atomic,"The average number of minutes between when Support Tickets are created and when they are closed, for all Tickets closed in the period.",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
CSAT,i,CSAT,,,Atomic,The summary CSAT score across responses received during the period.,,"Week, Month, Quarter",[User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Churn & Attrition,Support Desk; Help Desk,Customer Support,Product; Customer Success
Pending Support Tickets,n,PendSuppTkts,,Support Tickets; Customer,Atomic,"The count of Support Tickets in a pending state at the beginning of the period, waiting on additional context or action from either the Customer or the company.",,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Agent Wait Time,min,AgtWaitTime,,Support Tickets; Support Agent,Atomic,"The average number of minutes that Support Tickets created in the period spent in a pending state (New, Open, or Holding), waiting on additional context from the Customer.",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Requester Wait Time,min,ReqWaitTime,,Support Tickets; Customer,Atomic,"The average number of minutes that Support Tickets created in the period spent in a pending state (New, Open, or Holding), waiting on action from a Support Agent.",,"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
First Contact Resolutions,n,FirstContactRes,,Support Tickets; Customer,Atomic,The count of Support Tickets solved in the period that required only one interaction with the Customer.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
First Contact Resolution Rate,%,FirstContactResRate,FirstContactRes; SolvedTkts,Customer,Composite,The share of Solved Support Tickets in the period that required only one interaction with the Customer (First Contact Resolutions).,{FirstContactResₜ} / {SolvedTktsₜ},"Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
Support Ticket Reopens,n,SuppReopens,,Support Tickets,Atomic,The count of Support Tickets solved in the period that are subsequently reopened.,,"Week, Month, Quarter",[Ticket Dims]; [User Dims]; [Customer Dims],B2B SaaS,Enterprise; Self-Serve; Hybrid,Product,Support Tickets,Support Desk; Help Desk,Customer Support,Product; Customer Success
